      x1        x2         z
   -0.2701    2.3240    0.0927
    2.8666   -2.7761    0.0012
    1.9628    1.4013    0.0013
    1.1378    2.9243    0.0002
   -0.9412    2.8027    0.0369
   -0.5923   -1.7931    0.0402
    2.1128   -1.3024    0.2423
    2.8666   -1.7931    0.0157
    1.1378    2.0433    0.0039
   -1.8860    2.9243    0.0118
   -1.8860    2.3240    0.0786
    1.9628   -1.3024    0.3447
   -2.4850   -3.0484    0.0000
    2.2370   -0.8842    0.1924
    1.9628   -1.9031    0.1647
    1.3606    0.5511    0.0747
    1.9628   -1.7931    0.2149
   -1.8973   -1.3962    0.0018
   -0.5923   -0.8842    0.0997
    2.1128   -1.9031    0.1246
    2.2370    2.3240    0.0000
   -2.4850   -0.5885    0.0080
   -1.1384   -1.3962    0.0131
   -1.3664    0.5511    0.7679
         0    1.4013    0.3392
   -2.9369    0.8699    0.0241
    1.1378   -3.0484    0.0141
   -1.8860    2.0433    0.1483
    2.2370    0.8699    0.0068
   -1.8860    2.8027    0.0183
   -1.1384    1.2464    0.8889
         0    1.7445    0.1983
    0.9481    2.3240    0.0041
    2.6259    0.3226    0.0117
   -1.8860    1.2464    0.4655
    1.3606    2.3240    0.0006
   -1.1384   -0.2792    0.1890
   -0.9412   -2.7761    0.0010
   -0.9412    2.3240    0.1893
   -1.1384   -2.7761    0.0004
   -0.5923         0    0.3094
   -2.9369    2.3240    0.0043
    1.9628    2.0433    0.0001
    0.2933    1.2464    0.1918
         0    2.9243    0.0092
    0.9481   -0.8842    0.9598
   -0.9412    0.3226    0.6629
   -1.1384    0.3226    0.6311
   -1.8973   -0.5885    0.0343
    1.3606   -2.7761    0.0388
    0.6269    0.3226    0.2091
    2.2370   -2.2171    0.0463
    2.2370   -1.7931    0.1086
    0.6269   -3.0484    0.0135
    1.1378   -1.3024    0.8438
   -0.2701   -0.2792    0.2281
   -1.8860   -2.2171    0.0001
   -0.9412         0    0.3828
   -2.9369   -1.3024    0.0001
   -0.5923    0.5511    0.6787
   -1.1384    1.7445    0.6079
    1.3606    1.7445    0.0024
   -1.8973    1.4013    0.3913
    2.8666    2.0433    0.0000
    2.8666    0.5511    0.0029
    2.8666    1.2464    0.0002
   -1.3664   -1.9031    0.0018
         0    0.5511    0.3066
    2.1128    0.3226    0.0535
    0.9481   -1.3024    0.9313
   -1.3664    0.8699    0.9025
   -0.5923   -1.9031    0.0344
   -0.5923    2.9243    0.0195
         0   -1.9031    0.1718
    1.3606    1.4013    0.0059
   -2.4850    1.4013    0.0998
   -2.9369    2.8027    0.0009
    0.2933    1.7445    0.1161
    1.1378   -0.5885    0.7560
   -2.4850   -1.7931    0.0000   
   -2.9369    2.0433    0.0078
    2.1128    2.0433    0.0001
    2.6259    1.4013    0.0002
   -1.3664         0    0.3157
   -2.4850   -2.2171    0.0000
   -2.7638   -1.7931    0.0000
   -2.7638    0.3226    0.0267
    0.9481    0.8699    0.0561
   -2.4850   -0.8842    0.0033
    2.6259    0.5511    0.0061
    0.6269    2.0433    0.0219
    0.6269   -1.3024    0.8261
   -2.4850   -1.3024    0.0006
   -2.9369    1.2464    0.0232
    1.9628    2.9243    0.0000
    2.8666   -1.3962    0.0271
    2.1128    2.3240    0.0000
    1.9628   -0.2792    0.2441
    2.1128   -0.2792    0.1793
   -1.1384   -1.9031    0.0050
    0.6269   -0.2792    0.5132
    2.6259   -0.8842    0.0740
    0.6269    1.7445    0.0450
   -1.8973         0    0.1756
   -1.8860   -0.8842    0.0125
   -1.8973    1.2464    0.4530
   -2.4850   -1.9031    0.0000
    1.1378   -0.8842    1.0553
   -1.8973    0.5511    0.3848
    0.2933    0.8699    0.2188
   -2.9369   -1.7931    0.0000
    1.9628   -2.2171    0.0830
    0.6269         0    0.3180
    2.6259   -2.7761    0.0030
    0.9481    0.5511    0.1188
    2.2370    1.7445    0.0001
   -0.5923   -2.7761    0.0034
    1.9628    2.8027    0.0000
    2.2370   -2.7761    0.0085
   -1.1384   -2.2171    0.0025
   -0.2701    1.2464    0.5383
    1.9628   -0.5885    0.3141
   -2.9369    2.9243    0.0005
   -0.2701    1.4013    0.4562
    1.3606   -0.8842    0.7950
    0.2933   -0.2792    0.3862
    0.2933         0    0.2896
    0.2933   -2.7761    0.0244
   -0.2701   -3.0484    0.0028
   -2.7638   -1.9031    0.0000
   -2.4850         0    0.0392
   -1.8860    1.7445    0.2661
   -0.5923    0.3226    0.5192
    1.9628    1.7445    0.0003
   -2.9369   -2.2171    0.0000
    0.9481    0.3226    0.1732
   -2.9369   -1.3962    0.0001
    0.6269   -2.2171    0.2040
    2.8666   -1.9031    0.0135
    0.2933   -2.2171    0.1313
   -1.8860   -3.0484    0.0000
   -1.8973   -0.8842    0.0121
    1.3606   -0.2792    0.5138
         0    1.2464    0.3518
    1.3606    1.2464    0.0089
    1.1378    1.4013    0.0109
    2.1128   -2.2171    0.0636
    2.6259    2.3240    0.0000
    2.8666    2.3240    0.0000
   -2.7638    2.3240    0.0073
   -2.9369    0.5511    0.0178
   -2.4850    1.7445    0.0592
   -2.4850    1.2464    0.0963
   -1.3664   -1.7931    0.0022
    0.9481    2.9243    0.0005
    0.9481   -0.5885    0.8334
    1.1378   -1.3962    0.8875
   -0.9412    1.7445    0.6214
   -1.8973    2.3240    0.0791
   -1.8860   -2.7761    0.0000
    2.1128   -1.7931    0.1408
   -0.5923   -2.2171    0.0176
    2.6259    2.8027    0.0000
    2.1128    0.5511    0.0276
    2.2370    1.2464    0.0013
   -1.8973   -2.2171    0.0001
    2.6259    1.2464    0.0005
    0.6269    0.8699    0.0914
    2.6259   -2.2171    0.0165
    2.2370    0.3226    0.0384
   -1.1384   -1.3024    0.0135
   -2.7638    1.7445    0.0244
    0.9481   -2.2171    0.2343
   -1.3664    0.3226    0.5538
    2.6259   -0.2792    0.0393
         0   -0.2792    0.2828
   -2.4850    2.3240    0.0178
   -0.9412   -0.8842    0.0508
    2.2370   -0.5885    0.1855
    2.8666   -3.0484    0.0005
    2.6259         0    0.0241
   -1.8973   -1.3024    0.0024
   -0.9412   -1.9031    0.0109
   -1.8973    2.8027    0.0161
   -1.3664   -0.8842    0.0290
   -2.7638    1.2464    0.0461
    1.1378   -1.7931    0.5732
   -2.4850   -1.3962    0.0004
    1.3606    2.8027    0.0002
   -1.8973    0.3226    0.2967
    2.1128    0.8699    0.0086
   -0.9412    0.8699    0.9534
    0.9481   -1.3962    0.7925
    0.9481   -2.7761    0.0453
   -1.3664    1.4013    0.7961
   -2.7638   -2.7761    0.0000
    0.9481   -1.7931    0.5355
    1.3606    2.9243    0.0001
    1.1378   -1.9031    0.4294
    1.9628         0    0.1342
         0   -3.0484    0.0056
   -1.8860   -1.3962    0.0016
    1.1378    2.3240    0.0017
    2.8666         0    0.0124
         0   -0.5885    0.3618
   -2.9369   -3.0484    0.0000
    0.6269    1.2464    0.0738
    0.2933    2.9243    0.0044
    0.2933    1.4013    0.1722
    2.2370   -1.9031    0.1041
    1.1378    1.7445    0.0064
    0.6269   -2.7761    0.0404
    2.1128   -3.0484    0.0040
   -0.2701    1.7445    0.3605
   -2.9369    1.7445    0.0126
   -2.4850    2.8027    0.0046
   -0.2701    0.3226    0.3998
    2.6259    1.7445    0.0000
   -1.8973    2.0433    0.1599
    1.1378   -2.7761    0.0426
    0.2933   -1.9031    0.2738
   -0.5923    0.8699    0.9004
   -2.9369   -0.2792    0.0047
   -2.7638    2.0433    0.0144
    1.9628    0.5511    0.0331
   -1.3664    1.2464    0.8633
    1.3606   -1.3024    0.8755
   -0.2701    0.8699    0.5432
    1.3606    0.3226    0.1628
   -0.5923    1.7445    0.4689
   -1.3664   -3.0484    0.0001
         0         0    0.2874
   -2.4850    0.8699    0.1113
   -0.5923   -1.3024    0.0700
   -2.7638    0.5511    0.0355
    2.8666   -0.2792    0.0187
    0.2933   -0.8842    0.6203
    1.1378   -2.2171    0.2205
    2.8666   -0.5885    0.0265
   -0.2701    2.8027    0.0209
   -1.8860   -1.9031    0.0002
   -0.2701   -1.7931    0.1134
   -2.7638   -0.2792    0.0080
         0   -1.7931    0.2055
   -0.2701    2.0433    0.2131
   -2.7638   -1.3024    0.0002
   -1.8973   -1.7931    0.0003
    2.1128   -0.5885    0.2406
   -2.7638    2.8027    0.0018
    2.2370    0.5511    0.0178
    0.2933   -1.3962    0.5631
   -0.2701   -1.3962    0.1894
    0.2933   -0.5885    0.5170
   -1.8860   -0.2792    0.0853
    0.2933   -1.7931    0.3362
   -2.9369         0    0.0080
   -1.3664   -2.7761    0.0002
   -1.1384    0.8699    0.8878
    2.8666   -0.8842    0.0285
   -1.1384   -3.0484    0.0002
    1.3606    2.0433    0.0013
   -2.4850    2.9243    0.0027
   -0.5923   -1.3962    0.0753
   -1.3664    1.7445    0.4759
    2.2370    2.8027    0.0000
    1.9628   -2.7761    0.0180
   -1.1384   -0.8842    0.0364
         0    2.0433    0.1321
    0.6269    0.5511    0.1344
   -1.1384   -1.7931    0.0055
   -2.7638   -1.3962    0.0001
   -1.8860    1.4013    0.3694
   -0.5923    2.0433    0.3079
    2.8666    2.8027    0.0000
    0.2933    0.3226    0.2394
    2.1128   -0.8842    0.2741
    0.2933    0.5511    0.2036
    2.2370         0    0.0852
   -1.1384    2.9243    0.0258
    0.9481   -0.2792    0.6094
    0.9481    2.8027    0.0008
   -0.2701    2.9243    0.0136
   -0.9412   -2.2171    0.0056
   -0.5923    1.2464    0.7949
    1.9628   -0.8842    0.4030
    0.9481         0    0.4035
    2.6259   -1.9031    0.0291
    2.6259    0.8699    0.0020
    2.8666    2.9243    0.0000
   -0.9412    2.9243    0.0242
    1.3606   -1.9031    0.4043
    1.1378   -0.2792    0.5299
    2.8666    1.7445    0.0000
    0.9481    1.4013    0.0237
   -0.2701   -0.5885    0.2260
   -2.9369   -0.8842    0.0007
   -1.8973    2.9243    0.0118
   -1.1384    2.8027    0.0404
   -1.1384    1.4013    0.9067
    2.6259   -1.3962    0.0601
   -1.8860   -0.5885    0.0394
   -1.3664   -1.3024    0.0070
   -1.3664    2.9243    0.0200
         0   -1.3962    0.2932
         0    0.8699    0.3956
   -2.4850   -0.2792    0.0225
   -0.2701   -2.2171    0.0435
    2.1128   -2.7761    0.0121
    2.8666   -1.3024    0.0265
   -0.9412   -1.7931    0.0115
    1.3606         0    0.3376
   -1.8973    1.7445    0.2776
   -1.3664   -0.2792    0.1574
   -2.4850    0.5511    0.0841
         0   -1.3024    0.3454
    1.3606   -3.0484    0.0125
   -2.9369    1.4013    0.0214
   -1.1384         0    0.3805
   -1.8973   -1.9031    0.0002
         0    2.8027    0.0130
         0   -2.7761    0.0155
    2.2370   -0.2792    0.1274
   -1.1384   -0.5885    0.0872
         0   -0.8842    0.3958
   -0.2701   -0.8842    0.2138
    2.1128    1.4013    0.0010
    2.1128         0    0.1009
   -1.8973   -3.0484    0.0000
    2.2370    2.9243    0.0000
    0.9481    1.2464    0.0273
   -0.2701         0    0.3142
   -2.4850    2.0433    0.0347
   -0.5923   -0.2792    0.2295
    2.6259   -1.3024    0.0704
   -1.8973   -0.2792    0.0958
    2.2370    1.4013    0.0008
   -2.9369   -2.7761    0.0000
         0    0.3226    0.2704
    0.9481   -3.0484    0.0162
    2.1128    2.8027    0.0000
   -1.8860   -1.3024    0.0027
    0.9481   -1.9031    0.4550
    0.2933   -3.0484    0.0086
   -2.7638   -0.8842    0.0013
   -0.9412   -0.5885    0.1072
   -2.7638    0.8699    0.0446
         0   -2.2171    0.0768
    2.6259    2.9243    0.0000
    0.2933    2.3240    0.0297
   -0.5923   -0.5885    0.1243
    1.1378    2.8027    0.0004
    2.2370   -1.3024    0.1993
   -1.3664   -2.2171    0.0009
    1.9628    1.2464    0.0026
   -0.2701    0.5511    0.4523
    1.9628    2.3240    0.0000
    1.3606   -1.3962    0.7298
   -1.3664    2.8027    0.0312
   -0.2701   -1.9031    0.0949
   -0.9412   -0.2792    0.2256
    0.6269    2.8027    0.0026
    1.3606   -1.7931    0.4573
    1.1378    0.3226    0.1699
   -0.5923    2.8027    0.0346
    0.6269   -1.7931    0.4399
    2.1128    2.9243    0.0000
   -1.8860   -1.7931    0.0003
    1.9628   -3.0484    0.0063
    2.6259   -0.5885    0.0566
    0.6269    1.4013    0.0640
    2.8666    0.8699    0.0010
   -2.4850   -2.7761    0.0000
   -0.2701   -2.7761    0.0085
   -0.9412   -1.3024    0.0254
    2.1128    1.7445    0.0002
    2.8666    0.3226    0.0059
    2.2370    2.0433    0.0000
   -0.5923    2.3240    0.1323
    1.3606   -2.2171    0.1849
    1.1378    0.8699    0.0427
    2.6259    2.0433    0.0000
    2.6259   -3.0484    0.0012
    2.1128    1.2464    0.0018
   -2.7638   -2.2171    0.0000
    0.2933    2.8027    0.0067
   -1.3664    2.0433    0.2848
   -0.5923    1.4013    0.6793
   -2.9369   -1.9031    0.0000
   -2.9369   -0.5885    0.0021
    1.9628    0.3226    0.0682
    2.2370   -3.0484    0.0034
   -1.8860    0.3226    0.2809
    0.6269   -1.3962    0.7217
    1.1378         0    0.3435
    1.3606   -0.5885    0.7053
   -1.8860    0.8699    0.4804
   -1.3664   -1.3962    0.0059
   -1.8973    0.8699    0.4814
    2.2370   -1.3962    0.1680
         0    2.3240    0.0582
   -0.9412    2.0433    0.3161
   -0.9412   -1.3962    0.0215
   -0.9412    0.5511    0.8812
   -0.9412   -3.0484    0.0003
    2.1128   -1.3962    0.2601
   -2.7638   -0.5885    0.0037
    0.9481    2.0433    0.0077
    0.6269    2.3240    0.0128
   -1.8973   -2.7761    0.0000
   -1.3664   -0.5885    0.0742
    0.9481    1.7445    0.0129
   -2.7638    1.4013    0.0344
    2.8666    1.4013    0.0001
   -2.7638         0    0.0164
   -0.5923   -3.0484    0.0012
   -1.1384    0.5511    0.8368
   -1.3664    2.3240    0.1656
    0.6269   -0.5885    0.7876
    0.2933   -1.3024    0.5720
   -0.9412    1.4013    0.8536
    1.3606    0.8699    0.0321
   -0.9412    1.2464    0.8824
    1.1378    1.2464    0.0175
   -2.7638    2.9243    0.0011
    0.6269    2.9243    0.0019
    1.1378    0.5511    0.0943
   -2.9369    0.3226    0.0142
   -1.1384    2.0433    0.3368
    0.6269   -0.8842    0.8586
   -1.8860         0    0.1521
   -2.7638   -3.0484    0.0000
    0.6269   -1.9031    0.3784
   -1.1384    2.3240    0.1699
   -1.8860    0.5511    0.3643
    1.9628    0.8699    0.0122
   -0.2701   -1.3024    0.1801
    2.8666   -2.2171    0.0065
   -2.4850    0.3226    0.0739
    2.6259   -1.7931    0.0405
    1.9628   -1.3962    0.3051
    0.2933    2.0433    0.0612
