      x1        x2         z
    0.7791    1.8708    0.0308
    1.9040    1.4368    0.0070
   -1.9779    1.6392    0.0026
   -1.3083   -0.6599   -0.1567
    0.1847   -0.3736   -0.6628
   -0.9943    0.5707    0.3093
   -0.9943   -1.8438   -0.0248
   -1.8104   -0.1869   -0.0123
   -1.9779    0.3930    0.0122
   -0.6424   -1.8806   -0.0398
    1.2509   -0.8664   -0.1437
   -0.8780    1.4368    0.1109
   -0.3847         0         0
   -0.8780   -1.1045   -0.2239
    0.5764    1.8708    0.0405
    0.5764    1.8570    0.0464
   -0.3847   -0.9741   -0.5862
    0.9241    1.8708    0.0228
    0.5764    0.7523    0.5044
   -1.8104   -1.7224   -0.0036
    0.9241   -0.3736   -0.2883
   -0.2181   -0.1869   -0.3276
    1.5431    1.4368    0.0221
    1.5281   -0.6599   -0.0805
   -0.8780    0.2042    0.1761
   -0.9943    1.8570    0.0246
   -1.6783    1.4368    0.0158
    0.7791   -0.9741   -0.3315
   -0.9943   -0.9741   -0.2348
    0.3601   -1.1045   -0.4967
    0.7791         0         0
   -1.5350   -0.1869   -0.0369
    0.3601    0.3930    0.5855
    0.1847    1.6392    0.1369
    0.3601   -0.1869   -0.2988
   -0.8780    0.3930    0.2948
   -1.5350   -1.8438   -0.0062
   -0.3847    1.8570    0.0521
   -0.3847   -0.3736   -0.5322
    1.5281   -0.1869   -0.0328
   -1.6783   -1.8438   -0.0039
   -0.2181    1.6392    0.1369
   -0.3847    0.2042    0.3192
    0.1847    1.8708    0.0561
    1.5281    1.8708    0.0060
    1.5431   -1.7224   -0.0088
    0.1847    0.5707    0.8099
         0   -0.8664   -0.7078
   -0.2181   -0.6599   -0.7315
    1.5431   -0.1869   -0.0311
    0.5764   -0.6599   -0.5629
    1.5281    1.4368    0.0258
         0   -0.3736   -0.6400
   -1.3083    1.8570    0.0101
   -0.3847    1.2921    0.2876
    1.5281   -1.8438   -0.0057
   -0.9943   -1.1045   -0.2132
    1.9040   -1.8806   -0.0015
    1.9040    1.2921    0.0097
    0.9241    0.9375    0.2740
    1.5281   -1.8806   -0.0050
   -0.8780    0.5707    0.3425
    0.9241    0.7523    0.3428
   -1.8104    1.2921    0.0141
    0.5764   -1.7224   -0.0764
    0.9241   -0.9741   -0.2554
   -1.6783    1.6392    0.0085
    0.1847   -1.1045   -0.5198
    0.9241         0         0
    1.5431   -1.8438   -0.0059
   -1.8104   -0.9741   -0.0230
    2.0686    1.6392    0.0018
   -1.9779    0.7523    0.0150
    0.9241   -0.1869   -0.1527
   -1.6783    0.5707    0.0494
   -0.9943   -0.3736   -0.2134
   -1.5350   -0.3736   -0.0564
         0   -1.8438   -0.0679
   -0.3847    0.3930    0.6194
    1.5431   -0.9741   -0.0586
    0.5764   -1.8806   -0.0378
   -1.5350    1.2921    0.0346
   -1.9779   -1.7224   -0.0020
   -1.6783    1.2921    0.0209
    0.9241    1.2921    0.1653
   -0.6424    1.6392    0.0869
   -0.2181   -0.3736   -0.5494
    0.1847   -1.2601   -0.3754
   -0.3847    1.4368    0.2338
    1.2509    0.5707    0.1521
    0.9241   -0.6599   -0.3522
   -0.3847    0.7523    0.6700
   -0.3847   -0.8664   -0.6282
   -1.6783         0         0
    1.5431    1.8570    0.0055
   -0.9943    1.8708    0.0220
    0.7791    0.3930    0.3308
   -1.3083    1.8708    0.0103
   -1.3083   -1.7224   -0.0183
    0.1847         0         0
   -1.5350   -1.7224   -0.0093
    0.9241   -1.7224   -0.0429
    1.2509   -0.9741   -0.1402
   -0.9943   -1.2601   -0.1486
    1.5431         0         0
   -1.8104    1.8570    0.0021
    0.7791   -1.8806   -0.0289
    1.5281   -0.8664   -0.0632
   -1.5350    1.6392    0.0121
    2.0686   -0.9741   -0.0091
   -0.3847   -0.1869   -0.3016
    2.0686   -0.3736   -0.0089
   -0.9943    1.2921    0.1386
    1.5281    1.8570    0.0056
    0.7791    1.8570    0.0311
    0.1847    0.3930    0.5761
    1.5281   -0.9741   -0.0591
    1.5281   -0.3736   -0.0669
    1.5281         0         0
   -0.2181         0         0
   -0.6424         0         0
    0.3601   -1.8806   -0.0518
    0.3601   -1.2601   -0.3669
    1.5431    1.6392    0.0128
   -0.9943   -1.7224   -0.0411
         0         0         0
    1.9040    0.3930    0.0176
    2.0686   -1.8438   -0.0009
   -1.9779         0         0
   -1.8104    1.6392    0.0048
    0.9241   -1.8438   -0.0296
   -0.3847    1.6392    0.1140
   -1.3083   -1.8438   -0.0124
    1.2509   -1.1045   -0.1060
    2.0686   -0.6599   -0.0117
    1.5431   -1.2601   -0.0392
         0    0.2042    0.4059
   -1.6783   -1.7224   -0.0064
   -1.5350   -1.2601   -0.0376
    0.3601   -0.3736   -0.5407
   -1.8104    1.4368    0.0093
   -0.2181    1.4368    0.2173
   -1.9779   -0.3736   -0.0138
    0.9241   -1.1045   -0.2301
    0.5764    0.5707    0.5381
   -1.9779    1.8708    0.0011
   -0.2181    1.2921    0.3402
   -1.5350   -0.8664   -0.0703
   -1.9779    0.9375    0.0133
         0    0.9375    0.7218
    2.0686   -1.2601   -0.0053
   -0.6424    0.2042    0.2754
   -0.8780         0         0
   -0.8780    1.2921    0.1597
    1.2509   -0.1869   -0.0753
   -0.6424    0.9375    0.4151
   -1.8104    1.8708    0.0021
    0.3601    1.8708    0.0512
   -0.8780   -1.2601   -0.1628
    1.5281    0.9375    0.0704
    2.0686   -1.1045   -0.0074
   -1.8104   -0.6599   -0.0298
    1.9040    1.8570    0.0017
    1.5431   -1.8806   -0.0056
   -0.6424   -0.6599   -0.5648
         0   -0.6599   -0.7378
    0.1847    1.2921    0.3381
   -0.6424   -0.9741   -0.3826
         0    1.4368    0.2436
   -0.8780    0.9375    0.2857
    1.9040    0.5707    0.0191
   -0.9943    1.4368    0.0960
    1.5431    1.8708    0.0054
   -1.5350    0.2042    0.0333
    1.2509    1.6392    0.0292
    0.9241   -1.8806   -0.0238
   -1.8104    0.2042    0.0148
   -1.5350    0.3930    0.0596
    0.1847    0.2042    0.3389
   -0.2181    0.9375    0.5765
    1.9040    1.6392    0.0038
    0.1847   -0.9741   -0.6024
    1.5281    1.6392    0.0123
    0.3601    0.7523    0.7186
   -0.2181   -1.8806   -0.0505
    0.7791    0.9375    0.3691
   -0.6424   -1.1045   -0.3751
   -1.3083   -0.9741   -0.1104
   -0.9943    0.3930    0.2347
         0   -0.1869   -0.3371
    0.7791   -0.6599   -0.4379
   -1.6783    1.8708    0.0035
   -0.6424   -0.1869   -0.2255
    0.1847    1.4368    0.2645
    0.9241    1.6392    0.0599
    0.9241    0.3930    0.2578
   -1.6783   -0.6599   -0.0465
   -0.3847   -1.7224   -0.0818
   -1.5350    1.8570    0.0057
   -0.6424   -0.8664   -0.4974
