      x1        x2         z
   -2.4378    2.4935   -4.3512
    2.8155    1.4692    0.7117
    1.6452   -1.2284    1.4183
    2.1812   -1.2284    1.3447
   -2.2403    0.6568   -0.3550
   -0.6561   -2.5897   -4.1414
   -1.4461    2.2143   -4.5437
    1.6226   -0.5569    0.2952
    1.6452    2.2143    4.6210
   -2.3892   -2.7368   -5.4748
   -2.3892    1.6268   -1.6841
    1.1353         0         0
   -0.9408    3.1405   -7.9070
   -1.4461    3.1405   -9.5098
    0.3211   -2.7368    2.2342
    0.8779   -1.3602    1.3930
   -0.9408   -1.3602   -1.5776
   -0.3282         0         0
   -1.6408   -1.3602   -1.6941
    0.8779    0.2941    0.0687
   -1.6408         0         0
    0.5747   -0.2777    0.0402
    2.1812    1.2240    1.2817
         0    2.2143         0
   -2.3892    2.4517   -4.4922
   -1.4461   -1.3602   -1.9050
   -2.3892   -1.3602   -1.1697
    2.8155    2.2143    1.6455
   -2.2403   -0.2777   -0.0660
   -2.2403    2.4517   -4.2926
    1.6452    2.4517    6.5133
   -0.6561   -2.7368   -4.5617
    0.3211   -0.2777    0.0240
   -2.4378    3.1405   -5.8940
    2.7766   -2.7368    2.9135
    1.6452   -1.3602    1.7647
   -0.6561    1.4692   -1.4089
    0.5747    2.4935    3.4080
   -0.9408    2.4935   -5.4954
   -2.2403   -2.7465   -6.3785
    2.3420    2.4935    4.1943
   -0.9408         0         0
   -0.3282    3.1405   -3.1568
    1.6226    2.4517    6.5878
    2.1812    0.9702    0.7690
    1.6452   -0.5569    0.2915
    2.8155   -0.8750    0.2388
   -0.9408    1.6268   -1.9459
   -0.9408    0.9702   -0.7024
   -3.0367    2.4517   -0.6186
   -0.6561   -1.9102   -2.4342
    0.5747    0.2941    0.0439
   -2.4378   -1.2284   -0.9314
   -0.9408    0.2941   -0.0735
   -0.9408    0.6568   -0.3232
    1.6226    0.9702    0.8643
   -3.0367    0.9702   -0.1025
    1.6452    1.6268    2.8368
    2.7766    1.6268    0.9472
    2.7766    3.1405    3.6824
    0.3211    1.4692    0.6587
    1.1353   -2.1466    4.0935
   -2.3892   -0.8750   -0.5438
   -1.6408   -0.2777   -0.0837
   -1.6408    2.4517   -6.3476
    2.3420    1.6268    1.8051
   -3.0367    2.4935   -0.6872
         0   -2.7465         0
   -1.1726    2.2143   -4.5494
    1.6452    0.2941    0.0829
    1.6452   -2.1466    4.8816
    2.8155   -1.3602    0.6201
   -0.9408   -2.7368   -5.9566
    1.6226   -1.2284    1.5740
    0.3211   -2.7465    2.1842
    0.3211   -2.1466    1.3672
    2.1812    2.2143    4.2744
    1.1353    1.6268    2.5219
   -0.3282   -2.7465   -2.3637
   -2.2403   -0.5569   -0.2557
    2.3420    1.2240    1.0301
    0.3211   -0.8750    0.2396
   -1.1726   -2.7465   -6.6659
   -0.3282    1.2240   -0.4740
    0.5747   -1.3602    0.9355
    2.7766   -1.2284    0.5772
    2.7766   -1.3602    0.6383
   -0.3282    2.4935   -2.0406
    1.6226    2.2143    5.1799
    1.6226   -2.7465    7.2025
         0         0         0
   -1.4461   -0.8750   -0.8262
    2.7766    2.4935    2.3467
    2.3420    2.4517    4.6593
    1.6226   -2.7368    6.9084
   -0.6561         0         0
         0    1.4692         0
   -3.0367    1.6268   -0.2595
    0.8779   -2.7465    5.3277
   -1.1726   -0.2777   -0.0724
   -1.1726    0.2941   -0.0779
    2.1812         0         0
   -1.6408    2.4935   -5.7040
    0.3211   -1.2284    0.4491
   -2.2403   -1.3602   -1.4679
    2.3420    3.1405    6.5931
    0.8779   -1.2284    1.2606
    2.8155   -2.5897    1.9919
    2.3420    0.6568    0.2847
    0.5747    1.2240    0.8144
    0.8779    1.4692    1.6311
   -0.3282    2.4517   -1.8496
    1.6452    1.2240    1.4644
    1.1353    0.2941    0.0780
   -2.2403    3.1405   -8.4472
         0   -2.7368         0
   -2.3892   -1.9102   -2.4029
   -2.2403   -0.8750   -0.6135
   -1.4461   -1.2284   -1.4211
    0.3211    1.6268    0.8861
    1.6452         0         0
    2.3420    2.2143    3.8468
   -3.0367   -2.7368   -0.7162
    2.3420         0         0
   -3.0367         0         0
   -1.6408    0.2941   -0.0941
   -1.6408   -1.9102   -3.9842
   -0.6561   -1.2284   -0.9485
   -1.4461    2.4935   -6.1866
   -0.6561   -2.1466   -2.9544
   -0.3282   -0.2777   -0.0265
         0    3.1405         0
    2.3420   -1.9102    2.4343
    0.5747   -2.1466    2.6036
    0.5747    1.6268    1.5667
    2.3420   -1.3602    1.4380
   -0.6561    2.2143   -3.2806
   -0.9408   -2.7465   -5.8475
   -2.4378         0         0
    2.3420   -2.7368    5.3594
   -1.1726    1.4692   -1.7987
   -2.2403   -1.2284   -1.0797
    2.3420    0.9702    0.7114
   -1.6408   -2.7368   -7.0470
   -1.4461   -0.2777   -0.0831
    1.6452    0.6568    0.4589
    0.5747   -0.8750    0.4080
    2.3420   -0.8750    0.5102
   -0.3282   -2.5897   -2.1184
    1.1353    3.1405    9.1182
   -2.2403    1.6268   -2.2699
   -0.3282    0.9702   -0.3105
    0.8779    0.9702    0.7152
   -2.4378   -1.9102   -2.2395
    1.6452    1.4692    2.3247
   -1.4461    1.2240   -1.3405
         0   -0.8750         0
   -1.6408   -2.5897   -6.4385
   -2.2403    2.2143   -4.2234
   -0.3282    0.2941   -0.0272
   -1.6408    1.4692   -2.1700
    2.3420    0.2941    0.0640
   -2.3892   -1.2284   -1.0602
    1.6226    3.1405   10.7264
    1.6452   -1.9102    3.8557
   -1.1726   -0.8750   -0.7091
    2.1812   -2.1466    3.9027
         0    0.2941         0
   -0.9408    1.4692   -1.6648
         0   -0.5569         0
   -0.6561    0.2941   -0.0515
   -3.0367   -2.7465   -0.8393
   -2.4378    1.4692   -1.4121
    2.1812   -0.2777    0.0580
    1.1353   -0.5569    0.3025
   -2.2403   -2.7368   -5.6841
   -2.3892    1.2240   -1.0076
    2.8155   -2.7368    2.6093
   -1.1726   -1.9102   -3.2570
    2.3420   -2.1466    3.3562
    2.3420   -2.7465    5.7740
   -2.3892   -0.2777   -0.0556
    2.3420    1.4692    1.4429
   -1.1726   -1.3602   -1.5519
   -3.0367   -1.9102   -0.3738
    1.6452    2.4935    5.8706
   -2.2403    0.9702   -0.7634
    2.8155    2.4935    2.1847
    2.8155    1.2240    0.4349
    2.7766    0.6568    0.1653
   -0.3282   -0.5569   -0.0983
   -0.9408   -0.8750   -0.5963
   -3.0367    0.6568   -0.0412
    2.7766   -2.5897    2.1998
   -2.4378   -1.3602   -1.2444
         0    2.4935         0
    2.7766   -2.1466    1.7812
   -2.4378   -0.2777   -0.0479
    1.6452   -2.7465    7.6218
   -0.6561    0.6568   -0.2549
   -1.4461    0.9702   -0.9831
   -1.6408    1.6268   -2.5097
    2.8155   -2.1466    1.5603
   -1.1726    3.1405   -9.0320
    0.8779    1.2240    1.0429
   -1.6408    0.9702   -0.8859
         0    0.9702         0
    0.5747    0.6568    0.2119
   -1.4461    2.4517   -6.2970
    1.6226    0.2941    0.0915
    0.8779   -2.7368    5.5063
   -0.3282   -1.3602   -0.5756
   -1.4461   -2.5897   -6.2716
    2.7766   -1.9102    1.2998
   -2.4378   -0.8750   -0.4896
    0.3211    0.2941    0.0256
   -0.3282    0.6568   -0.1386
   -2.2403    2.4935   -4.6835
    2.1812   -1.3602    1.5278
   -1.6408    0.6568   -0.4081
    0.3211   -1.3602    0.6049
   -0.9408   -0.5569   -0.2449
         0   -2.5897         0
    1.1353   -2.7368    7.3223
    1.1353    0.6568    0.3543
    1.1353   -1.2284    1.4058
    2.7766    0.2941    0.0323
   -1.4461   -2.7368   -7.4815
    2.3420   -0.2777    0.0552
    0.8779   -2.5897    5.0348
    1.6226         0         0
         0    1.2240         0
         0   -1.3602         0
   -3.0367   -1.3602   -0.2016
   -0.6561   -0.2777   -0.0507
   -1.1726         0         0
    2.1812    0.6568    0.3487
    2.7766    1.2240    0.4914
    2.3420   -1.2284    1.1312
    2.1812    1.6268    2.3143
    2.7766   -0.5569    0.1044
    1.6226    1.4692    1.9601
   -2.3892   -2.7465   -5.0211
   -2.3892   -0.5569   -0.2301
   -1.6408    1.2240   -1.3778
    2.7766   -2.7465    2.7352
   -2.2403   -2.1466   -3.4465
   -2.4378   -2.5897   -4.6357
    0.5747   -1.2284    0.8534
    2.7766    1.4692    0.6979
   -0.3282   -2.7368   -2.2260
    2.8155   -1.9102    1.2073
    1.1353   -0.8750    0.7296
    2.7766    2.4517    2.2811
    0.8779   -0.5569    0.2497
    1.6452   -2.7368    7.4364
    0.5747    0.9702    0.4606
    0.5747   -2.7465    4.0659
    0.8779    3.1405    7.3711
   -2.2403    1.2240   -1.1905
    0.3211   -1.9102    1.1063
   -2.4378   -2.7368   -4.7239
    1.1353    2.2143    4.7407
    2.7766   -0.8750    0.2474
         0   -1.9102         0
   -3.0367    3.1405   -1.0290
   -1.4461         0         0
    2.7766    2.2143    1.7503
    2.1812   -2.7465    6.4689
    1.6452   -0.2777    0.0777
    2.8155    0.9702    0.3124
   -3.0367   -2.5897   -0.7006
    1.6226    2.4935    6.5511
   -3.0367    2.2143   -0.4647
   -0.3282   -1.9102   -1.2640
   -1.6408   -2.7465   -7.4174
   -3.0367    1.4692   -0.2389
    1.6226    1.6268    2.4114
    2.8155    0.2941    0.0298
    2.8155         0         0
   -2.3892         0         0
    1.6226   -1.3602    1.7238
    1.1353   -2.7465    7.3200
   -2.3892    0.9702   -0.5797
    2.7766    0.9702    0.3297
    1.6226   -2.1466    4.6720
    0.8779   -1.9102    2.6087
   -0.6561   -0.5569   -0.2040
    2.8155   -1.2284    0.4521
    0.5747   -2.7368    3.8784
   -2.4378   -0.5569   -0.1845
   -0.3282    1.6268   -0.8713
    0.8779    2.4935    4.8602
   -2.2403    1.4692   -1.5734
   -1.1726    1.2240   -1.5190
   -1.1726    2.4517   -5.7569
    1.1353   -0.2777    0.0694
   -1.1726    1.6268   -2.5169
    0.8779   -0.2777    0.0570
   -0.3282   -0.8750   -0.2542
    2.1812    2.4517    5.2345
   -3.0367   -2.1466   -0.5303
    1.1353    2.4517    5.5212
    2.3420   -2.5897    4.4269
    0.3211   -0.5569    0.0982
   -1.1726   -1.2284   -1.3088
    2.1812    3.1405    7.3156
